Date Collected ,Species ,Bag_Number,End_Mass,MassPlusBag,MassPlusBagDried,Week_Collected ,Shore_or_Water,Tag Number
8/23/23,Natans 8,4,6.337,8.706,,Two,Shore,B77
8/23/23,Fluitans,15,8.647,11.082,,Two,Shore,B55
8/23/23,Natans 8,15,5.274,7.701,,Two,Shore,B63
8/24/23,Natans 1,10,14.145,16.515,4.771,One,Water,B95
8/24/23,Fluitans,16,17.33,19.727,5.434,One,Water,B70
8/24/23,Natans 8,16,39.469,41.766,10.435,One,Water,B49
8/24/23,Fluitans,27,28.959,31.281,8.082,One,Water,B84
8/24/23,Natans 8,27,39.484,41.867,10.717,One,Water,B62
8/24/23,Natans 1,15,12.339,14.778,4.898,One,Water,B58
8/24/23,Natans 8,21,37.891,40.28,9.614,One,Water,B60
8/24/23,Fluitans,21,18.297,20.696,5.62,One,Water,B27
8/24/23,Natans 1,17,10.856,13.286,4.555,One,Water,B48
8/24/23,Fluitans,23,16.463,18.9,5.348,One,Water,B82
8/24/23,Natans 8,23,34.648,37.043,8.976,One,Water,B44
8/24/23,Fluitans,30,21.385,23.783,6.229,One,Water,B85
8/24/23,Fluitans,29,6.879,9.28,7.048,One,Shore,G51
8/24/23,Natans 1,11,15.432,17.795,7.351,One,Shore,G39
8/24/23,Natans 8,17,27.058,28.956,7.559,One,Shore,G98
8/24/23,Fluitans,17,19.785,22.094,5.853,One,Shore,G35
8/24/23,Fluitans,25,13.723,16.136,4.45,One,Shore,G60
8/24/23,Natans 8,25,31.027,32.764,,One,Shore,G96
8/24/23,Fluitans,21,8.412,9.979,,One,Shore,G57
8/24/23,Natans 1,15,14.397,16.231,,One,Shore,G60
8/24/23,Natans 8,21,19.238,21.022,,Two,Shore,G95
8/24/23,Fluitans,24,8.541,10.367,,Two,Shore,G59
8/24/23,Natans 8,24,7.833,9.633,,Two,Shore,G89
8/24/23,Natans 1,18,12.392,14.19,,Two,Shore,G37
8/30/23,Natans 1,7,13.172,13.904,,Three,Water,G14
8/30/23,Fluitans,7,13.667,16.066,,Three,Water,G05
8/30/23,Natans 8,7,32.848,35.206,,Three,Water,G76
8/30/23,Fluitans,11,7.656,10.075,,Three,Water,G40
8/30/23,Natans 8,11,26.53,28.933,,Three,Water,G72
8/30/23,Natans 8,5,21.874,24.288,,Three,Water,G16
8/30/23,Fluitans,5,14.744,17.153,,Three,Water,G11
8/30/23,Natans 1,5,2.458,4.866,,Three,Water,G56
8/30/23,Natans 8,11,5.292,7.687,,Three,Shore,B74
8/30/23,Fluitans,11,5.918,8.335,,Three,Shore,B72
8/30/23,Fluitans,2,5.065,7.445,,Three,Shore,B79
8/30/23,Natans 8,2,5.036,7.434,,Three,Shore,B71
8/30/23,Natans 1,2,4.792,7.177,,Three,Shore,B29
8/31/23,Natans 8 ,22,7.558,9.896,,Two,Shore,G38
8/31/23,Natans 1,16,6.34,8.753,,Two,Shore,G99
8/31/23,Fluitans,22,5.787,8.177,,Two,Shore,G55
8/31/23,Natans 8,19,5.336,7.748,,Two,Shore,G36
8/31/23,Fluitans,19,4.471,6.86,,Two,Shore,G81
8/31/23,Natans 1,13,4.33,6.715,,Two,Shore,G6
8/31/23,Fluitans,24,7.375,9.79,,Two,Water,B54
8/31/23,Natans 8,24,42.344,44.798,,Two,Water,B43
8/31/23,Natans 1,18,5.977,8.375,,Two,Water,B45
8/31/23,Fluitans,28,24.956,27.332,,Two,Water,B10
8/31/23,Fluitans,26,19.733,22.082,,Two,Water,B86
8/31/23,Natans 8,26,37.371,39.742,,Two,Water,B50
8/31/23,Natans 8,20,32.06,34.435,,Two,Water,B56
8/31/23,Natans 1,14,11.754,14.128,,Two,Water,B47
8/31/23,Fluitans,20,10.562,12.927,,Two,Water,B96
8/31/23,Fluitans,18,6.029,8.264,,Two,Water,B98
8/31/23,Natans 8,18,36.498,38.849,,Two,Water,B57
8/31/23,Natans 1,12,2.235,4.611,,Two,Water,B52
9/7/23,Natans 1,17,5.318,8.047,,Three,Shore,G100
9/7/23,Natans 8,23,5.369,8.139,,Three,Shore,G87
9/7/23,Fluitans,23,5.128,7.875,,Three,Shore,G58
9/7/23,Fluitans,29,15.203,17.857,,Three,Water,B87
9/7/23,Fluitans,17,7.371,10.125,,Three,Water,B99
9/7/23,Natans 1,11,5.018,7.71,,Three,Water,B59
9/7/23,Natans 8,17,33.366,36.072,,Three,Water,B30
9/7/23,Fluitans,25,13.379,16.129,,Three,Water,B83
9/7/23,Natans 8,25,34.918,37.616,,Three,Water,B53
9/7/23,Natans 1,13,4.235,6.961,,Three,Water,B12
9/7/23,Fluitans,19,3.812,6.578,,Three,Water,B97
9/7/23,Natans 8,19,23.94,26.65,,Three,Water,B51
9/7/23,Fluitans,22,7.198,9.896,,Three,Water,B24
9/7/23,Natans 1,16,3.561,6.312,,Three,Water,B46
9/7/23,Natans 8,22,33.338,36.031,,Three,Water,B41
